from,to,distance
0,110,1010.56
0,11,1315.81
0,53,1886.76
0,33,1948.29
0,119,2682.75
1,86,1925.72
1,84,1969.92
1,63,3126.67
1,89,3607.98
1,87,3930.73
2,49,329.61
2,78,2449.03
2,88,3127.4
2,69,3625.89
2,12,3834.9
3,99,586.44
3,47,774.35
3,101,1758.64
3,23,2311.75
3,92,2939.63
4,55,853.04
4,39,1444.25
4,85,1676.92
4,44,2356.76
4,108,2829.46
5,122,1648.72
5,91,1901.37
5,108,2162.22
5,67,2468.73
5,54,2648.45
6,80,633.6
6,76,1650.46
6,70,2647.25
6,46,3095.64
6,41,3484.53
7,13,1871.21
7,30,1978.24
7,74,2528.33
7,64,2534.41
7,31,2659.76
8,116,1459.67
8,64,2503.52
8,13,2547.68
8,105,3320.11
8,59,3323.03
9,10,397.0
9,106,1629.49
9,42,2659.02
9,11,3315.93
9,53,3423.9
10,9,397.0
10,106,1232.94
10,42,2516.75
10,11,3061.95
10,53,3100.86
11,110,321.27
11,53,826.93
11,0,1315.81
11,33,2259.28
11,106,2455.51
12,69,1398.04
12,78,2508.78
12,113,3225.83
12,49,3579.84
12,37,3764.05
13,64,677.63
13,7,1871.21
13,57,1936.12
13,74,2409.05
13,8,2547.68
14,62,616.06
14,29,1058.74
14,97,1593.17
14,19,1847.61
14,41,1968.71
15,42,1101.7
15,58,1618.94
15,104,2274.37
15,100,2337.56
15,65,2463.61
16,71,1576.0
16,81,1894.16
16,114,2440.91
16,35,2746.72
16,83,3648.51
17,18,1734.49
17,63,2326.13
17,91,2375.49
17,101,2785.16
17,54,2833.72
18,91,827.14
18,54,1269.26
18,17,1734.49
18,5,2700.8
18,25,3049.9
19,97,1213.54
19,29,1482.36
19,41,1754.14
19,14,1847.61
19,62,1985.73
20,121,1008.89
20,83,2004.25
20,79,2044.0
20,45,2054.41
20,103,2096.15
21,103,193.22
21,45,581.11
21,56,1803.73
21,20,2269.4
21,121,2830.52
22,36,2737.41
22,28,3000.93
22,107,3240.16
22,120,4116.96
22,72,4502.47
23,99,1783.14
23,101,1787.03
23,47,1901.0
23,52,2128.25
23,3,2311.75
24,98,864.98
24,77,1014.44
24,51,1074.63
24,124,1409.5
24,96,1710.35
25,43,1677.87
25,54,2286.1
25,32,2325.56
25,53,2439.79
25,100,2481.11
26,93,741.56
26,77,1830.53
26,117,2210.43
26,24,2740.83
26,98,2937.7
27,48,176.51
27,112,1053.47
27,40,2085.98
27,76,2387.53
27,41,2582.45
28,36,2088.46
28,120,2532.79
28,22,3000.93
28,72,4856.28
28,107,5292.0
29,97,608.41
29,41,910.56
29,14,1058.74
29,40,1255.84
29,19,1482.36
30,31,1241.22
30,7,1978.24
30,38,2243.72
30,74,2905.32
30,118,3645.74
31,30,1241.22
31,38,2089.96
31,74,2322.62
31,118,2514.93
31,7,2659.76
32,100,440.33
32,43,914.26
32,75,1908.64
32,90,2034.35
32,25,2325.56
33,119,1629.57
33,0,1948.29
33,110,2037.85
33,11,2259.28
33,53,3086.12
34,59,1615.15
34,107,1885.08
34,116,2663.15
34,66,3295.67
34,72,3858.92
35,83,1204.77
35,56,1633.57
35,82,1779.99
35,121,2209.73
35,71,2528.11
36,120,1406.0
36,28,2088.46
36,22,2737.41
36,72,2772.66
36,107,3601.05
