from,to,distance
0,200,638.77
0,174,682.61
0,49,858.52
0,278,905.27
0,128,938.5
1,230,117.28
1,212,404.6
1,76,553.38
1,26,768.89
1,244,805.76
2,75,210.06
2,79,335.55
2,353,588.8
2,193,846.38
2,240,1022.97
3,161,411.83
3,258,652.51
3,309,768.63
3,54,972.45
3,223,1052.62
4,316,450.33
4,218,476.32
4,154,673.47
4,226,801.41
4,35,997.41
5,310,289.85
5,116,623.45
5,145,639.1
5,329,862.4
5,187,1045.44
6,169,480.78
6,52,649.13
6,105,689.94
6,31,726.87
6,16,744.12
7,186,210.98
7,143,599.35
7,146,818.15
7,313,988.64
7,73,1033.14
8,120,379.84
8,343,426.59
8,128,533.35
8,239,1109.03
8,92,1406.68
9,108,339.3
9,192,423.8
9,319,812.99
9,33,1001.4
9,317,1015.66
10,261,435.53
10,18,882.44
10,88,902.91
10,143,921.97
10,197,936.13
11,257,343.04
11,240,599.24
11,79,801.89
11,2,1123.83
11,75,1226.41
12,40,141.41
12,130,159.01
12,300,235.6
12,39,483.58
12,171,832.44
13,25,472.85
13,216,599.98
13,107,825.81
13,125,826.36
13,345,998.03
14,317,229.63
14,303,482.15
14,285,879.99
14,9,1050.3
14,192,1085.45
15,351,404.36
15,222,442.1
15,266,591.91
15,187,737.09
15,329,974.69
16,31,348.45
16,109,371.38
16,262,545.89
16,6,744.12
16,177,955.45
17,219,396.97
17,162,405.0
17,333,590.91
17,344,814.43
17,82,856.69
18,88,74.29
18,179,102.67
18,261,673.26
18,10,882.44
18,339,902.25
19,276,467.46
19,142,512.2
19,194,730.18
19,42,966.39
19,204,1040.2
20,175,572.23
20,21,659.83
20,241,1340.94
20,194,1395.1
20,85,1405.04
21,20,659.83
21,99,911.43
21,48,956.43
21,175,1177.18
21,19,1563.15
22,80,453.39
22,325,627.57
22,67,661.05
22,311,728.08
22,232,1158.46
23,152,337.66
23,309,433.2
23,195,454.76
23,34,632.15
23,119,693.98
24,158,362.59
24,132,1110.89
24,94,1154.23
24,263,1201.52
24,253,1628.19
25,107,355.32
25,13,472.85
25,125,837.41
25,216,885.73
25,72,954.87
26,357,507.63
26,230,662.63
26,1,768.89
26,39,803.88
26,76,1034.54
27,65,314.83
27,294,856.37
27,165,1125.71
27,315,1260.28
27,270,1398.21
28,233,596.44
28,70,679.63
28,91,724.71
28,38,871.3
28,126,912.26
29,177,707.67
29,303,862.96
29,124,1022.85
29,286,1124.07
29,109,1205.48
30,301,85.68
30,86,696.21
30,208,704.2
30,248,757.97
30,140,1018.06
31,262,269.22
31,16,348.45
31,109,425.19
31,6,726.87
31,59,749.5
32,71,498.28
32,273,744.11
32,184,841.3
32,339,955.5
32,341,965.78
33,198,350.98
33,192,587.82
33,54,751.8
33,108,752.96
33,9,1001.4
34,50,375.58
34,119,563.34
34,23,632.15
34,152,648.52
34,335,762.91
35,117,460.45
35,205,464.58
35,334,617.61
35,218,621.67
35,231,807.94
36,207,385.38
36,196,679.85
36,178,778.36
36,133,956.39
36,147,990.59
37,68,395.56
37,231,865.37
37,117,1089.57
37,35,1382.4
37,334,1386.04
38,91,147.1
38,70,429.59
38,93,612.07
38,299,740.0
38,28,871.3
39,12,483.58
39,130,499.47
39,40,566.36
39,300,638.51
39,26,803.88
40,300,94.4
40,12,141.41
40,130,292.93
40,39,566.36
40,171,948.8
41,237,803.68
41,359,1061.39
41,81,1129.61
41,243,1426.17
41,305,1494.87
42,194,277.21
42,142,932.6
42,19,966.39
42,312,1124.05
42,175,1184.3
43,318,182.29
43,46,370.64
43,338,453.84
43,83,515.83
43,337,604.48
44,121,235.34
44,84,335.1
44,283,419.97
44,95,461.5
44,268,645.49
45,213,234.24
45,271,531.44
45,236,657.74
45,247,705.24
45,124,842.46
46,297,343.31
46,83,367.84
46,43,370.64
46,337,387.05
46,318,469.11
47,115,641.28
47,291,644.87
47,191,761.34
47,155,872.86
47,270,991.59
48,99,478.12
48,21,956.43
48,190,1149.98
48,302,1189.42
48,274,1562.25
49,174,176.48
49,200,371.39
49,0,858.52
49,156,956.05
49,311,998.06
50,34,375.58
50,60,598.46
50,119,668.97
50,235,900.91
50,335,903.82
51,259,259.53
51,185,372.21
51,331,539.57
51,111,621.08
51,180,703.66
52,59,578.39
52,229,617.74
52,6,649.13
52,169,678.77
52,153,990.39
53,149,725.22
53,260,727.28
53,281,860.38
53,256,866.1
53,275,1288.14
54,198,676.22
54,33,751.8
54,210,781.08
54,258,951.0
54,3,972.45
55,352,375.8
55,160,507.61
55,101,762.85
55,138,831.09
55,251,918.79
56,319,297.43
56,245,457.45
56,210,498.32
56,108,952.79
56,9,1101.62
57,209,677.69
57,157,1498.15
57,35,1518.42
57,117,1802.71
57,37,1846.05
58,358,159.62
58,145,861.67
58,116,1067.85
58,90,1152.31
58,310,1184.59
59,52,578.39
59,275,737.22
59,31,749.5
59,262,777.04
59,6,863.36
60,50,598.46
60,357,801.76
60,282,902.37
60,235,904.76
60,34,969.43
61,106,268.72
61,199,522.85
61,168,627.03
61,62,706.07
61,242,771.64
62,337,555.97
62,83,612.41
62,297,693.25
62,61,706.07
62,168,876.82
63,346,254.49
63,134,595.96
63,98,1785.49
63,320,1794.3
63,24,1877.29
64,274,25.71
64,190,611.23
64,264,1101.17
64,166,1120.17
64,302,1342.95
65,27,314.83
65,315,1038.12
65,294,1159.89
65,251,1259.58
65,129,1265.46
66,323,232.62
66,133,282.71
66,292,658.21
66,273,708.1
66,176,856.11
67,22,661.05
67,80,1114.35
67,144,1148.69
67,311,1173.68
67,325,1176.7
68,37,395.56
68,231,550.86
68,117,855.49
68,334,1089.31
68,35,1242.8
69,141,229.57
69,266,1137.91
69,73,1160.5
69,222,1321.15
69,351,1374.68
70,91,363.9
70,38,429.59
70,233,632.61
70,28,679.63
70,126,748.18
71,32,498.28
71,199,653.83
71,168,908.06
71,106,916.34
71,273,944.99
72,89,534.49
72,244,619.93
72,252,689.57
72,107,705.56
72,212,829.5
73,211,966.23
73,7,1033.14
73,141,1102.27
73,186,1133.28
73,69,1160.5
74,206,66.81
74,102,408.51
74,277,489.02
74,313,724.48
74,214,1057.28
75,2,210.06
75,79,494.28
75,353,511.31
75,193,665.66
75,146,1108.23
76,1,553.38
76,244,591.3
76,230,627.81
76,97,632.98
76,89,693.42
77,251,331.55
77,129,470.09
77,315,502.13
77,137,757.43
77,314,971.19
78,93,510.93
78,82,624.5
78,333,810.09
78,344,1005.07
78,162,1023.91
79,2,335.55
79,75,494.28
79,240,712.01
79,11,801.89
79,353,922.8
80,22,453.39
80,325,456.82
80,311,662.35
80,232,715.55
80,67,1114.35
81,280,709.76
81,41,1129.61
81,330,1372.19
81,135,1473.64
81,214,1503.63
82,333,296.76
82,344,415.31
82,162,583.1
82,78,624.5
82,17,856.69
83,337,114.51
83,297,339.1
83,46,367.84
83,318,472.03
83,43,515.83
84,121,306.29
84,44,335.1
84,95,489.59
84,268,633.06
84,283,753.55
85,241,308.65
85,157,1065.02
85,20,1405.04
85,175,1486.46
85,21,1882.41
86,248,89.21
86,208,638.05
86,301,665.8
86,30,696.21
86,164,1152.72
87,299,205.02
87,338,554.56
87,318,787.75
87,43,806.29
87,91,897.66
88,18,74.29
88,179,114.4
88,261,725.42
88,339,857.63
88,341,871.49
89,244,103.49
89,72,534.49
89,212,646.33
89,76,693.42
89,97,747.03
90,116,964.54
90,358,1019.89
90,58,1152.31
90,240,1289.13
90,68,1534.99
91,38,147.1
91,70,363.9
91,299,716.24
91,28,724.71
91,93,738.15
92,150,147.01
92,239,316.93
92,322,472.07
92,215,1238.65
92,8,1406.68
93,78,510.93
93,38,612.07
93,91,738.15
93,70,755.84
93,82,910.16
94,132,763.28
94,342,940.6
94,158,984.36
94,24,1154.23
94,306,1607.72
95,121,236.19
95,44,461.5
95,84,489.59
95,296,613.43
95,283,669.57
96,312,496.22
96,289,757.77
96,202,904.35
96,148,913.76
96,249,925.6
97,284,610.83
97,76,632.98
97,244,702.01
97,89,747.03
97,217,774.03
98,320,18.07
98,172,977.61
98,182,1101.53
98,253,1124.04
98,134,1245.23
99,48,478.12
99,21,911.43
99,190,1086.64
99,20,1475.16
99,302,1608.5
100,173,377.15
100,122,710.59
100,234,1040.93
100,129,1077.92
100,287,1178.03
101,221,568.35
101,55,762.85
101,306,837.94
101,254,906.44
101,160,951.3
102,313,358.33
102,74,408.51
102,206,452.3
102,277,876.16
102,186,924.32
103,105,294.88
103,6,872.39
103,169,940.38
103,16,1048.17
103,298,1150.76
104,111,808.5
104,261,956.95
104,179,974.76
104,18,984.89
104,51,993.81
105,103,294.88
105,169,656.79
105,6,689.94
105,298,883.81
105,170,1053.2
106,199,262.92
106,61,268.72
106,168,563.58
106,340,682.18
106,249,694.65
107,25,355.32
107,72,705.56
107,13,825.81
107,125,1045.61
107,252,1129.08
108,192,304.83
108,9,339.3
108,319,657.1
108,33,752.96
108,210,855.11
109,16,371.38
109,262,406.41
109,31,425.19
109,177,699.03
109,281,710.44
110,269,652.15
110,144,1305.92
110,328,1444.69
110,278,1741.27
110,67,2425.38
111,51,621.08
111,104,808.5
111,259,859.69
111,179,865.62
111,339,922.06
112,245,934.78
112,297,957.6
112,46,1004.78
112,9,1096.73
112,319,1196.52
113,275,1069.7
113,118,1095.66
113,149,1209.24
113,322,1362.08
113,238,1489.61
114,279,149.93
114,228,403.06
114,327,439.35
114,131,675.85
114,265,848.04
115,191,155.39
115,324,594.48
115,291,624.28
115,47,641.28
115,155,840.88
116,5,623.45
116,310,770.79
116,145,865.41
116,90,964.54
116,329,1014.6
117,334,355.23
117,231,355.43
117,205,414.77
117,35,460.45
117,68,855.49
118,238,398.68
118,153,583.17
118,215,729.8
118,229,1053.78
118,113,1095.66
119,201,251.15
119,152,423.72
119,195,509.45
119,34,563.34
119,50,668.97
120,8,379.84
120,128,427.17
120,343,469.13
120,0,1124.53
120,239,1354.2
121,44,235.34
121,95,236.19
121,84,306.29
121,283,548.95
121,268,828.42
122,234,356.23
122,173,473.33
122,287,523.84
122,100,710.59
122,355,1314.31
123,332,326.74
123,159,572.61
123,232,1119.88
123,324,1120.37
123,136,1120.75
124,177,673.91
124,213,724.35
124,247,757.87
124,45,842.46
124,29,1022.85
125,13,826.36
125,25,837.41
125,107,1045.61
125,216,1424.73
125,274,1466.82
126,220,145.89
126,356,322.88
126,233,323.16
126,203,465.73
126,70,748.18
127,165,299.47
127,246,381.18
127,228,894.83
127,294,973.77
127,114,1022.81
128,343,185.55
128,120,427.17
128,8,533.35
128,0,938.5
128,278,1218.81
129,315,342.46
129,77,470.09
129,251,512.42
129,100,1077.92
129,137,1097.74
130,12,159.01
130,40,292.93
130,300,383.58
130,39,499.47
130,171,677.44
131,265,436.34
131,279,525.92
131,182,547.48
131,114,675.85
131,228,771.13
132,94,763.28
132,158,765.12
132,263,948.5
132,342,982.47
132,24,1110.89
133,66,282.71
133,292,416.07
133,323,499.91
133,176,688.15
133,207,741.47
134,346,416.95
134,63,595.96
134,98,1245.23
134,320,1256.58
134,172,1821.89
135,243,906.86
135,359,919.88
135,81,1473.64
135,41,1536.94
135,203,1692.95
136,332,1104.23
136,123,1120.75
136,159,1150.6
136,232,1187.91
136,80,1192.83
137,163,240.18
137,314,292.03
137,77,757.43
137,251,1071.25
137,129,1097.74
138,217,180.18
138,160,384.87
138,352,484.25
138,284,703.3
138,55,831.09
139,253,533.43
139,263,864.33
139,228,1093.42
139,246,1102.04
139,265,1112.42
140,301,992.91
140,30,1018.06
140,208,1157.41
140,280,1386.39
140,308,1545.29
141,69,229.57
141,73,1102.27
141,266,1365.23
141,222,1549.09
141,351,1602.76
142,19,512.2
142,293,634.24
142,276,740.07
142,204,754.45
142,194,820.96
143,197,467.41
143,304,533.45
143,354,570.36
143,7,599.35
143,186,678.77
144,269,780.87
144,67,1148.69
