from,to,distance
0,135,1315.32
0,204,2214.38
0,165,2393.72
0,82,2643.61
0,259,2656.45
1,273,1214.56
1,232,1602.4
1,131,2367.04
1,199,2774.5
1,238,3170.52
2,139,1134.29
2,130,1379.74
2,230,1562.27
2,194,2353.15
2,61,2502.95
3,58,2056.11
3,63,2255.95
3,180,2620.61
3,112,2781.22
3,84,2892.67
4,264,2350.31
4,198,3919.35
4,92,3954.69
4,146,4115.49
4,180,4240.55
5,127,266.99
5,140,1713.97
5,45,1841.38
5,129,1968.97
5,85,2078.51
6,25,107.78
6,7,515.4
6,197,630.15
6,255,1498.07
6,192,1546.12
7,197,341.91
7,6,515.4
7,25,556.67
7,9,1931.88
7,192,1955.28
8,158,594.38
8,35,1223.15
8,177,1790.7
8,22,2850.15
8,95,3070.18
9,181,942.96
9,197,1626.25
9,7,1931.88
9,6,2211.42
9,25,2311.99
10,237,1272.63
10,69,1308.54
10,168,1607.99
10,224,2563.94
10,62,2566.9
11,266,1361.05
11,94,1381.98
11,18,1636.96
11,152,1881.14
11,274,2247.06
12,194,337.59
12,61,903.51
12,59,2331.26
12,2,2608.86
12,139,3513.02
13,104,430.86
13,256,1232.66
13,43,2481.85
13,76,2553.22
13,216,2876.12
14,27,1462.14
14,39,3604.26
14,268,3630.73
14,30,4259.87
14,253,4277.44
15,225,1115.47
15,263,1402.82
15,85,1910.55
15,44,2070.93
15,174,2098.09
16,176,1754.65
16,85,1900.18
16,171,2015.91
16,263,2071.3
16,233,2356.22
17,86,1702.65
17,163,1814.98
17,54,2616.8
17,35,3451.62
17,99,3835.52
18,94,1420.39
18,11,1636.96
18,266,2038.07
18,49,2618.24
18,189,2877.74
19,79,1003.23
19,33,1775.43
19,59,2266.1
19,224,2808.74
19,178,2897.81
20,240,1812.8
20,132,1899.08
20,107,2331.19
20,122,2839.4
20,269,3389.91
21,258,1331.37
21,123,2175.15
21,198,2615.73
21,55,3442.51
21,243,3533.57
22,95,766.12
22,110,1071.98
22,177,1424.69
22,28,2304.42
22,158,2493.32
23,262,1429.83
23,119,1646.15
23,65,1747.6
23,48,1768.54
23,251,1768.63
24,120,631.0
24,169,666.75
24,220,1123.15
24,125,1759.96
24,242,2462.09
25,6,107.78
25,7,556.67
25,197,715.98
25,255,1513.75
25,192,1596.06
26,167,256.61
26,145,854.81
26,190,1938.81
26,149,2086.79
26,124,2111.93
27,14,1462.14
27,253,3115.04
27,28,3971.59
27,30,4534.73
27,213,4765.93
28,253,999.77
28,213,1007.72
28,110,1801.87
28,259,2166.3
28,22,2304.42
29,75,680.89
29,188,1007.85
29,100,1172.2
29,160,1266.14
29,60,1508.76
30,195,327.17
30,95,1875.74
30,242,1912.26
30,22,2640.19
30,110,3667.37
31,152,974.45
31,266,1885.41
31,97,2157.98
31,169,2192.39
31,120,2305.49
32,271,377.46
32,277,442.22
32,224,1115.29
32,168,1833.75
32,33,2117.06
33,224,1124.77
33,277,1675.13
33,19,1775.43
33,79,1955.39
33,32,2117.06
34,72,1858.66
34,208,2113.31
34,42,2486.52
34,185,2826.53
34,226,3405.46
35,8,1223.15
35,158,1273.91
35,163,2070.0
35,177,2413.71
35,17,3451.62
36,218,1414.81
36,37,1936.47
36,113,1964.47
36,228,2589.04
36,184,3094.54
37,172,1825.64
37,36,1936.47
37,228,2137.56
37,250,2148.35
37,113,2292.2
38,133,1015.38
38,178,2701.97
38,10,2816.71
38,69,3688.96
38,237,3930.31
39,268,1541.26
39,40,1792.75
39,227,1936.29
39,254,2579.26
39,247,3164.92
40,227,796.15
40,254,1744.87
40,39,1792.75
40,268,3199.04
40,276,3684.94
41,50,318.28
41,128,724.83
41,278,747.83
41,201,993.07
41,206,1667.44
42,34,2486.52
42,208,3606.15
42,161,3983.7
42,222,4128.98
42,72,4281.15
43,216,932.12
43,141,1713.77
43,136,1870.26
43,155,1946.12
43,126,2030.67
44,174,188.27
44,157,221.17
44,225,1481.07
44,15,2070.93
44,170,2337.61
45,140,286.39
45,111,1474.41
45,127,1593.91
45,137,1601.55
45,5,1841.38
46,51,855.13
46,109,1137.61
46,191,1266.0
46,164,1355.17
46,249,1788.63
47,74,880.55
47,249,1348.89
47,105,1551.74
47,257,1827.18
47,233,2421.67
48,55,576.69
48,119,868.78
48,251,924.0
48,262,1251.39
48,23,1768.54
49,94,1412.75
49,266,1465.03
49,152,1919.06
49,18,2618.24
49,97,2677.18
50,41,318.28
50,128,435.51
50,278,1062.77
50,201,1303.26
50,206,1939.09
51,46,855.13
51,109,1445.88
51,210,1971.34
51,249,2032.64
51,191,2093.42
52,148,1095.36
52,183,1888.93
52,270,2037.14
52,103,2076.74
52,236,3051.06
53,93,1992.96
53,78,2237.63
53,223,2753.35
53,214,2970.89
53,175,3106.3
54,99,1645.34
54,17,2616.8
54,245,2839.75
54,212,2850.34
54,86,3019.99
55,48,576.69
55,251,865.7
55,262,1354.14
55,119,1403.65
55,23,2244.52
56,65,1524.1
56,77,1570.59
56,119,2695.27
56,23,2927.6
56,48,3538.94
57,108,2004.41
57,91,2066.95
57,78,2171.61
57,219,2250.32
57,93,2814.2
58,63,1071.01
58,112,1101.79
58,84,1362.71
58,265,1457.77
58,179,2026.39
59,79,1344.2
59,61,1427.75
59,19,2266.1
59,12,2331.26
59,194,2474.47
60,100,766.25
60,188,799.43
60,75,1296.29
60,29,1508.76
60,173,1719.53
61,12,903.51
61,194,1074.36
61,59,1427.75
61,2,2502.95
61,79,2737.98
62,69,1309.39
62,237,1673.17
62,168,2242.98
62,10,2566.9
62,182,3222.37
63,112,638.27
63,84,648.81
63,265,742.33
63,179,961.05
63,58,1071.01
64,179,1106.29
64,265,2017.28
64,63,2017.63
64,84,2042.15
64,112,2309.21
65,119,1185.44
65,56,1524.1
65,23,1747.6
65,48,2015.56
65,77,2383.67
66,98,790.93
66,239,1409.2
66,76,2891.75
66,223,3346.49
66,256,3563.05
67,248,1776.69
67,87,1979.68
67,107,1989.79
67,156,2218.33
67,71,2625.47
68,147,1668.86
68,151,2070.88
68,20,3485.97
68,269,3830.41
68,240,3874.14
69,237,510.99
69,168,1229.4
69,10,1308.54
69,62,1309.39
69,182,2835.31
70,231,717.08
70,100,1511.92
70,101,1835.6
70,29,2036.0
70,60,2253.21
71,159,401.02
71,248,848.87
71,257,1579.45
71,156,2000.36
71,154,2513.6
72,185,1616.33
72,226,1832.68
72,34,1858.66
72,88,2177.56
72,252,2590.57
73,142,655.82
73,134,930.29
73,193,1872.23
73,144,2245.17
73,166,2548.58
74,47,880.55
74,105,964.44
74,143,1628.54
74,233,1777.86
74,171,2033.52
75,188,535.79
75,29,680.89
75,160,832.35
75,60,1296.29
75,100,1344.81
76,256,1407.76
76,13,2553.22
76,104,2680.89
76,66,2891.75
76,98,3244.01
77,56,1570.59
77,65,2383.67
77,203,2409.45
77,23,2868.22
77,119,3471.97
78,219,1996.92
78,93,2035.63
78,57,2171.61
78,53,2237.63
78,116,2321.29
79,19,1003.23
79,59,1344.2
79,33,1955.39
79,61,2737.98
79,224,3080.03
80,183,1365.96
80,231,2466.8
80,70,2763.43
80,148,2940.15
80,101,3070.5
81,203,1642.95
81,77,3910.31
81,62,4881.15
81,38,5252.9
81,56,5345.6
82,213,1630.64
82,204,1760.14
82,135,1800.96
82,165,1813.34
82,259,2015.24
83,146,842.26
83,184,961.3
83,243,2294.53
83,228,2560.53
83,264,2745.18
84,265,103.05
84,112,294.32
84,63,648.81
84,179,952.01
84,58,1362.71
85,263,534.79
85,205,1723.47
85,16,1900.18
85,15,1910.55
85,5,2078.51
86,163,1674.42
86,17,1702.65
86,165,2327.86
86,54,3019.99
86,135,3240.25
87,102,1806.74
87,67,1979.68
87,202,2158.88
87,248,2975.75
87,107,3606.82
88,215,1271.6
88,252,1659.3
88,72,2177.56
88,138,2497.39
88,209,2683.65
89,260,1309.96
89,229,1531.17
89,209,1624.5
89,138,1913.62
89,211,1975.62
90,247,1000.47
90,268,3126.3
90,254,3230.71
90,276,3292.77
90,227,3834.29
91,219,1483.29
91,57,2066.95
91,167,2212.51
91,26,2367.68
91,145,2418.37
92,146,2320.84
92,184,2438.03
92,83,3119.57
92,264,3645.64
92,3,3812.64
93,108,1348.63
93,53,1992.96
93,78,2035.63
93,57,2814.2
93,219,3886.69
94,266,704.96
94,11,1381.98
94,49,1412.75
94,18,1420.39
94,152,1647.63
95,22,766.12
95,195,1747.23
95,110,1819.64
95,30,1875.74
95,177,2009.54
96,244,498.56
96,255,762.61
96,261,780.36
96,192,1104.78
96,272,1480.44
97,31,2157.98
97,152,2225.75
97,49,2677.18
97,266,2904.16
97,120,2999.53
98,66,790.93
98,239,1769.84
98,223,2669.41
98,76,3244.01
98,214,3341.77
99,54,1645.34
99,245,3441.75
99,86,3503.13
99,194,3742.84
99,17,3835.52
100,60,766.25
